year;month;cloud_cover;sunshine;global_radiation;max_temp;temp;min_temp;precipitation;pressure;snow_depth;avg(year);avg(month)
1979;1;5.724;1.887;29.032;4.116;0.616;-2.552;1.932;101214.839;1.355;1979.0;1.0
1979;2;6.36;1.889;45.214;4.532;2.043;-0.429;1.571;101163.929;0.107;1979.0;2.0
1979;3;5.968;3.213;93.355;9.239;5.587;1.994;3.061;100459.032;0.032;1979.0;3.0
1979;4;6.133;3.543;134.167;12.52;8.743;4.81;2.587;101165.333;0.0;1979.0;4.0
1979;5;5.29;6.471;204.065;16.206;11.49;7.152;2.806;101362.581;0.0;1979.0;5.0
1979;6;5.667;4.677;187.267;18.997;15.04;11.067;1.253;101859.667;0.0;1979.0;6.0
1979;7;5.484;5.887;202.419;22.626;17.919;13.365;0.7;102008.065;0.0;1979.0;7.0
1979;8;5.387;5.526;174.935;20.971;16.587;12.19;1.077;101368.065;0.0;1979.0;8.0
1979;9;4.621;5.92;137.3;19.477;14.97;10.343;0.693;102026.0;0.0;1979.0;9.0
1979;10;5.633;4.029;79.645;16.226;12.594;8.787;2.216;101137.742;0.0;1979.0;10.0
1979;11;5.593;1.937;34.967;10.767;7.163;3.54;1.61;101440.667;0.0;1979.0;11.0
1979;12;5.613;1.6;23.613;8.758;6.51;3.861;2.929;100953.667;0.032;1979.0;12.0
1980;1;5.194;2.335;33.0;6.235;2.926;-0.139;0.958;101501.935;0.0;1980.0;1.0
1980;2;6.276;1.8;46.0;9.986;6.41;2.903;1.269;101750.345;0.0;1980.0;2.0
1980;3;6.194;2.684;87.161;9.11;5.703;2.419;2.326;100961.29;0.0;1980.0;3.0
1980;4;5.1;5.373;158.967;14.077;9.663;5.35;0.72;102207.333;0.0;1980.0;4.0
1980;5;4.29;7.132;213.032;17.261;12.348;7.442;0.842;101639.355;0.0;1980.0;5.0
1980;6;5.533;6.293;216.7;19.683;15.313;10.853;3.54;101170.0;0.0;1980.0;6.0
1980;7;5.581;5.281;184.935;19.929;15.797;11.884;1.913;101317.097;0.0;1980.0;7.0
1980;8;5.194;5.594;173.71;21.874;17.61;13.316;1.687;101599.677;0.0;1980.0;8.0
1980;9;5.033;4.887;123.4;19.98;16.043;12.013;0.923;101751.0;0.0;1980.0;9.0
1980;10;5.032;3.977;76.0;13.739;9.887;5.758;3.113;101105.806;0.0;1980.0;10.0
1980;11;5.667;2.213;35.967;9.24;6.92;4.52;0.88;101673.0;0.0;1980.0;11.0
1980;12;5.516;2.055;25.613;8.932;5.777;2.703;1.077;101809.032;0.0;1980.0;12.0
1981;1;5.548;2.0;30.548;8.197;5.013;1.961;1.055;102288.387;0.0;1981.0;1.0
1981;2;5.071;2.557;50.821;7.068;3.507;-0.082;0.425;102036.786;0.036;1981.0;2.0
1981;3;6.839;1.832;76.065;11.758;9.132;6.477;2.929;100529.032;0.0;1981.0;3.0
1981;4;5.6;4.33;141.667;12.867;8.87;4.853;1.08;102059.0;0.0;1981.0;4.0
1981;5;5.903;3.613;160.29;16.523;12.274;8.423;2.574;100870.968;0.0;1981.0;5.0
1981;6;5.833;5.07;195.733;18.45;14.46;10.417;1.317;101883.333;0.0;1981.0;6.0
1981;7;5.839;4.803;188.742;21.848;17.374;12.794;1.829;101652.581;0.0;1981.0;7.0
1981;8;4.516;7.029;192.613;22.9;17.926;13.003;1.461;102113.871;0.0;1981.0;8.0
1981;9;4.7;5.037;126.933;20.28;15.76;11.267;3.153;101282.333;0.0;1981.0;9.0
1981;10;5.452;3.558;73.323;12.758;9.306;5.761;2.468;100867.742;0.0;1981.0;10.0
1981;11;5.967;1.83;33.967;11.223;8.317;5.093;1.137;102324.333;0.0;1981.0;11.0
1981;12;5.867;1.516;22.548;4.426;1.439;-1.542;2.752;100210.323;2.194;1981.0;12.0
1982;1;5.613;1.861;29.903;6.977;3.639;0.394;1.226;101757.097;3.613;1982.0;1.0
1982;2;6.071;1.832;44.393;8.421;5.364;2.371;1.129;101750.0;0.0;1982.0;2.0
1982;3;4.161;5.526;124.419;11.213;6.845;2.542;1.661;101529.355;0.0;1982.0;3.0
1982;4;5.133;6.03;173.167;14.363;9.64;4.973;0.76;102120.333;0.0;1982.0;4.0
1982;5;4.774;6.606;207.968;18.365;12.774;7.594;2.319;101780.968;0.0;1982.0;5.0
1982;6;5.233;6.07;213.033;21.21;17.14;12.827;2.82;101353.667;0.0;1982.0;6.0
1982;7;5.323;5.29;193.806;22.958;18.035;13.345;0.79;101947.097;0.0;1982.0;7.0
1982;8;5.194;5.448;172.935;21.877;17.529;12.871;1.281;101409.355;0.0;1982.0;8.0
1982;9;4.2;5.2;127.733;20.79;15.903;11.047;1.32;101552.0;0.0;1982.0;9.0
1982;10;6.194;2.245;58.774;14.123;10.958;7.8;3.519;100969.032;0.0;1982.0;10.0
1982;11;5.533;1.85;33.667;11.02;8.8;6.18;2.43;101104.0;0.0;1982.0;11.0
1982;12;5.516;1.613;22.968;8.339;5.055;1.91;2.052;101194.516;0.0;1982.0;12.0
1983;1;6.032;1.658;28.258;9.929;7.165;4.306;1.523;102279.677;0.0;1983.0;1.0
1983;2;5.179;3.046;55.857;5.546;2.479;-0.518;1.107;102016.429;0.107;1983.0;2.0
1983;3;5.581;3.013;92.419;10.774;6.935;3.039;1.087;101678.387;0.0;1983.0;3.0
1983;4;5.533;4.847;152.9;12.573;7.967;3.577;3.383;100769.0;0.0;1983.0;4.0
1983;5;5.935;4.413;176.097;15.79;11.535;7.487;2.352;100711.29;0.0;1983.0;5.0
1983;6;5.467;6.293;215.133;20.823;16.083;11.37;0.4;102021.333;0.0;1983.0;6.0
1983;7;3.677;7.994;237.903;27.539;21.784;15.965;1.623;101847.097;0.0;1983.0;7.0
1983;8;3.839;7.068;199.29;24.587;19.177;13.839;0.368;101991.935;0.0;1983.0;8.0
1983;9;5.6;3.79;108.9;19.123;15.293;11.277;1.43;101257.333;0.0;1983.0;9.0
1983;10;4.935;3.677;72.452;15.058;11.319;7.545;1.345;101940.645;0.0;1983.0;10.0
1983;11;5.933;1.43;31.167;10.997;8.387;5.473;1.317;101810.667;0.0;1983.0;11.0
1983;12;5.387;1.887;25.323;9.387;5.965;2.71;1.642;101335.806;0.0;1983.0;12.0
1984;1;5.129;2.842;36.71;7.942;4.735;1.432;2.365;100739.677;0.0;1984.0;1.0
1984;2;5.724;2.469;49.621;7.514;4.338;1.272;1.134;102044.828;0.0;1984.0;2.0
1984;3;6.323;1.658;73.839;8.71;5.723;2.542;2.368;101589.677;0.0;1984.0;3.0
1984;4;4.067;7.683;194.033;15.0;9.23;3.847;0.18;102087.333;0.0;1984.0;4.0
1984;5;5.774;4.668;169.903;14.81;10.871;6.826;2.932;101170.645;0.0;1984.0;5.0
1984;6;4.833;7.9;244.467;21.487;16.297;11.33;1.203;101790.667;0.0;1984.0;6.0
1984;7;4.387;7.5;229.935;24.316;18.565;12.935;0.619;101900.645;0.0;1984.0;7.0
1984;8;4.742;6.487;190.548;24.413;19.319;14.194;0.897;101820.645;0.0;1984.0;8.0
1984;9;5.567;3.27;104.0;18.297;14.803;11.033;2.447;101059.0;0.0;1984.0;9.0
1984;10;5.645;2.942;65.645;15.855;12.135;8.487;2.671;101401.613;0.0;1984.0;10.0
1984;11;5.7;2.513;39.767;12.03;9.293;6.407;2.327;100463.0;0.0;1984.0;11.0
1984;12;5.733;1.59;23.194;8.461;5.761;2.806;1.829;101880.645;0.0;1984.0;12.0
1985;1;5.742;1.513;27.032;4.323;1.116;-1.832;1.332;101344.194;0.355;1985.0;1.0
1985;2;5.5;2.796;53.321;6.204;3.196;0.121;1.064;102195.0;1.214;1985.0;2.0
1985;3;5.387;3.394;96.0;9.568;5.339;1.281;1.1;101285.806;0.0;1985.0;3.0
1985;4;5.4;5.25;160.033;13.897;9.647;5.273;1.11;101185.667;0.0;1985.0;4.0
1985;5;5.677;5.281;184.581;16.639;12.297;8.216;2.087;101342.258;0.0;1985.0;5.0
1985;6;5.967;5.573;201.767;18.52;14.203;9.917;2.963;101386.667;0.0;1985.0;6.0
1985;7;4.968;7.787;234.452;22.794;18.019;13.177;1.135;101564.839;0.0;1985.0;7.0
1985;8;5.387;6.042;181.323;20.19;16.116;11.935;1.9;101297.419;0.0;1985.0;8.0
1985;9;4.9;4.78;121.433;20.947;15.997;11.363;0.373;102013.667;0.0;1985.0;9.0
1985;10;5.0;3.832;75.677;15.548;12.406;8.745;0.594;102388.387;0.0;1985.0;10.0
1985;11;5.333;2.953;42.967;8.277;4.673;1.223;1.0;101414.667;0.0;1985.0;11.0
1985;12;6.484;1.258;21.032;9.761;7.606;5.187;2.597;101278.71;0.0;1985.0;12.0
1986;1;5.387;2.026;30.645;7.071;4.1;1.035;3.406;100780.645;0.0;1986.0;1.0
